ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
2.0,38.16,,,2098746.0,1769235672.2010417,1
2.0,27.9325,0.331805,33.34,2101303.0,1769235672.2614584,1
2.0,9.95,,,2101715.5,1769235672.321875,1
2.0,-25.302500000000002,,,2095213.0,1769235672.3822916,1
2.0,-70.0875,,,2089873.5,1769235672.4427083,1
2.0,-115.27000000000001,0.386892,33.34,2086733.0,1769235672.503125,1
2.0,-47.17,,,2087093.0,1769235672.5635417,1
2.0,56.24,,,2088043.0,1769235672.6239583,1
2.0,96.89500000000001,,,2088402.5,1769235672.684375,1
2.0,97.66,,,2089608.0,1769235672.7447917,1
2.0,71.5925,0.351021,33.34,2092090.0,1769235672.8052084,1
2.0,60.7525,,,2095030.0,1769235672.865625,1
2.0,54.245,,,2097954.0,1769235672.9260416,1
2.0,16.665,,,2095879.0,1769235672.9864583,1
2.0,-26.106666666666666,0.340773,33.34,2090118.5,1769235673.046875,1
2.0,-86.805,,,2087119.0,1769235673.1072917,1
2.0,-141.1,,,2087156.5,1769235673.1677084,1
2.0,-34.595,,,2088897.0,1769235673.228125,1
2.0,70.415,0.343335,33.33,2089922.0,1769235673.2885416,1
2.0,19.0275,,,2091077.0,1769235673.3489583,1
2.0,-101.8675,,,2093232.5,1769235673.409375,1
2.0,-225.92,,,2096243.0,1769235673.4697917,1
2.0,-272.4633333333333,0.340773,33.33,2099530.5,1769235673.5302083,1
2.0,-141.58,,,2099986.0,1769235673.590625,1
2.0,34.3425,,,2094997.5,1769235673.6510417,1
2.0,50.6525,,,2091306.0,1769235673.7114584,1
2.0,5.4399999999999995,0.342054,33.33,2090778.5,1769235673.771875,1
2.0,86.9975,,,2092166.0,1769235673.8322916,1
2.0,144.3,,,2093910.5,1769235673.8927083,1
2.0,128.89666666666665,,,2095258.0,1769235673.953125,1
2.0,73.12,0.342054,33.33,2097498.5,1769235674.0135417,1
2.0,28.849999999999998,,,2100240.0,1769235674.0739584,1
2.0,5.995,,,2104037.5,1769235674.134375,1
2.0,-26.479999999999997,,,2107345.0,1769235674.1947916,1
2.0,-63.614999999999995,0.340773,33.34,2104713.0,1769235674.2552083,1
2.0,-124.41,,,2100625.0,1769235674.315625,1
2.0,-120.80749999999999,,,2098866.0,1769235674.3760417,1
2.0,-14.706666666666665,,,2099717.0,1769235674.4364583,1
2.0,73.5625,,,2101658.0,1769235674.496875,1
2.0,111.1575,0.342054,33.34,2103177.0,1769235674.5572917,1
2.0,98.9525,,,2105216.0,1769235674.6177084,1
2.0,78.2675,,,2107913.0,1769235674.678125,1
2.0,66.5875,,,2110992.5,1769235674.7385416,1
2.0,55.697500000000005,0.352302,33.34,2114821.0,1769235674.7989583,1
2.0,35.14666666666667,,,2117273.5,1769235674.859375,1
2.0,-9.07,,,2114501.0,1769235674.9197917,1
2.0,-37.0525,,,2111235.0,1769235674.9802084,1
2.0,63.8725,0.354865,33.34,2110339.0,1769235675.040625,1
2.0,189.425,,,2111562.5,1769235675.1010416,1
2.0,244.29,,,2113531.0,1769235675.1614583,1
2.0,251.1425,,,2115319.0,1769235675.221875,1
2.0,224.495,0.356146,33.34,2116951.0,1769235675.2822917,1
2.0,179.39999999999998,,,2119810.0,1769235675.3427083,1
2.0,120.59499999999998,,,2122868.0,1769235675.403125,1
2.0,34.27,,,2126438.0,1769235675.4635417,1
2.0,-21.985,0.216506,33.34,2127192.0,1769235675.5239584,1
2.0,-87.11749999999999,,,2123893.0,1769235675.584375,1
2.0,-115.2625,,,2121970.0,1769235675.6447916,1
2.0,15.8525,,,2123139.0,1769235675.7052083,1
2.0,54.38999999999999,0.340773,33.34,2125232.5,1769235675.765625,1
2.0,3.5649999999999995,,,2126812.0,1769235675.8260417,1
2.0,-65.5625,,,2128234.0,1769235675.8864584,1
2.0,-132.27249999999998,,,2130398.0,1769235675.946875,1
2.0,-169.505,0.352302,33.34,2133413.5,1769235676.0072916,1
2.0,-182.9725,,,2136328.0,1769235676.0677083,1
2.0,-150.4575,,,2135030.5,1769235676.128125,1
2.0,-64.45,,,2131374.0,1769235676.1885417,1
2.0,-76.40666666666667,,,2130244.0,1769235676.2489583,1
2.0,-122.02000000000001,0.354865,33.37,2130768.0,1769235676.309375,1
2.0,-167.97750000000002,,,2132739.0,1769235676.3697917,1
2.0,-257.44,,,2134075.0,1769235676.4302084,1
2.0,-322.3025,,,2135756.0,1769235676.490625,1
2.0,-367.26250000000005,0.353584,33.37,2137938.0,1769235676.5510416,1
2.0,-375.9825,,,2140965.5,1769235676.6114583,1
2.0,-303.62,,,2143933.0,1769235676.671875,1
2.0,-225.2075,,,2142135.0,1769235676.7322917,1
2.0,-122.08500000000001,0.351021,33.37,2137736.0,1769235676.7927084,1
2.0,21.790000000000003,,,2135435.5,1769235676.853125,1
2.0,203.39749999999998,,,2134659.0,1769235676.9135416,1
2.0,335.045,,,2135955.5,1769235676.9739583,1
2.0,292.0375,0.353584,33.37,2136906.0,1769235677.034375,1
2.0,220.925,,,2137955.5,1769235677.0947917,1
2.0,175.43000000000004,,,2139559.0,1769235677.1552083,1
2.0,136.105,,,2141785.0,1769235677.215625,1
2.0,37.3,0.354865,33.37,2144561.0,1769235677.2760417,1
2.0,-95.9775,,,2144154.5,1769235677.3364584,1
2.0,-57.2725,,,2139602.0,1769235677.396875,1
2.0,147.365,,,2136687.0,1769235677.4572916,1
2.0,248.4625,0.357427,33.37,2135457.0,1769235677.5177083,1
2.0,207.76666666666668,,,2136267.0,1769235677.578125,1
2.0,127.3675,,,2137145.0,1769235677.6385417,1
2.0,92.6575,,,2137745.5,1769235677.6989584,1
2.0,61.6575,0.358708,33.37,2138892.0,1769235677.759375,1
2.0,13.542499999999999,,,2140806.0,1769235677.8197916,1
2.0,-77.5025,,,2143141.0,1769235677.8802083,1
2.0,-178.9475,,,2143198.0,1769235677.940625,1
2.0,-82.04,0.358708,33.37,2138641.0,1769235678.0010417,1
2.0,71.74,,,2135190.0,1769235678.0614583,1
2.0,102.73,,,2133587.0,1769235678.121875,1
2.0,34.89,,,2134302.0,1769235678.1822917,1
2.0,-34.57,,,2134402.0,1769235678.2427084,1
2.0,-60.832499999999996,0.353584,33.37,2133989.0,1769235678.303125,1
2.0,-106.52000000000001,,,2134720.5,1769235678.3635416,1
2.0,-150.33,,,2136057.0,1769235678.4239583,1
2.0,-202.90333333333334,,,2136505.0,1769235678.484375,1
2.0,-268.84250000000003,0.352302,33.37,2132035.0,1769235678.5447917,1
2.0,-222.22750000000002,,,2126817.5,1769235678.6052084,1
2.0,0.9374999999999964,,,2124219.0,1769235678.665625,1
2.0,191.4825,,,2124210.5,1769235678.7260416,1
2.0,208.21,0.352302,33.37,2123884.0,1769235678.7864583,1
2.0,127.1425,,,2122941.5,1769235678.846875,1
2.0,113.5375,,,2123148.0,1769235678.9072917,1
2.0,141.38666666666666,,,2124512.0,1769235678.9677083,1
2.0,119.26249999999999,0.353584,33.37,2126246.0,1769235679.028125,1
2.0,87.775,,,2123852.0,1769235679.0885417,1
2.0,-40.935,,,2117764.0,1769235679.1489584,1
2.0,-205.2075,,,2113716.0,1769235679.209375,1
2.0,-78.705,0.351021,33.37,2110978.0,1769235679.2697916,1
2.0,69.7375,,,2111138.0,1769235679.3302083,1
2.0,115.28333333333335,,,2110503.0,1769235679.390625,1
2.0,70.26,,,2110425.0,1769235679.4510417,1
2.0,-57.487500000000004,0.347178,33.37,2111163.5,1769235679.5114584,1
2.0,-202.795,,,2113695.0,1769235679.571875,1
2.0,-239.0325,,,2114058.0,1769235679.6322916,1
2.0,-234.805,,,2109405.0,1769235679.6927083,1
2.0,-196.91750000000002,0.342054,33.37,2105603.0,1769235679.753125,1
2.0,-59.352500000000006,,,2104743.0,1769235679.8135417,1
2.0,115.41666666666667,,,2104284.0,1769235679.8739583,1
2.0,263.085,,,2101814.5,1769235679.934375,1
2.0,301.9925,,,2097244.0,1769235679.9947917,1
2.0,232.32750000000001,0.345897,33.37,2092126.0,1769235680.0552084,1
2.0,179.225,,,2088321.0,1769235680.115625,1
2.0,113.89500000000001,,,2083618.5,1769235680.1760416,1
2.0,-36.915,,,2082570.0,1769235680.2364583,1
2.0,-169.36666666666665,0.348459,33.39,2077844.0,1769235680.296875,1
2.0,-237.90749999999997,,,2073425.0,1769235680.3572917,1
2.0,-146.23,,,2068160.0,1769235680.4177084,1
2.0,49.352500000000006,,,2067472.0,1769235680.478125,1
2.0,116.8575,0.356146,33.39,2066656.5,1769235680.5385416,1
2.0,72.8175,,,2065454.0,1769235680.5989583,1
2.0,-18.38,,,2064667.5,1769235680.659375,1
2.0,-69.69,,,2064689.0,1769235680.7197917,1
2.0,-95.75999999999999,0.36127,33.39,2065700.5,1769235680.7802083,1
2.0,-109.20250000000001,,,2067643.0,1769235680.840625,1
2.0,-156.12,,,2066246.5,1769235680.9010417,1
