ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
4.0,-57.18142857142857,,,2246076.0,1708758212.94375,0.0
4.0,-14.485,0.544435,34.57,2245267.0,1708758213.04375,0.0
4.0,2.9757142857142855,,,2243757.5,1708758213.14375,0.0
4.0,7.381666666666667,,,2244847.0,1708758213.24375,0.0
4.0,8.525,0.540592,34.57,2247478.5,1708758213.34375,0.0
4.0,-10.161428571428571,,,2249601.0,1708758213.44375,0.0
4.0,-38.38333333333333,0.536748,34.57,2250902.5,1708758213.54375,0.0
4.0,-71.64857142857143,,,2245258.6666666665,1708758213.64375,0.0
4.0,-108.26166666666667,,,2235005.0,1708758213.74375,0.0
4.0,-88.33666666666666,0.536748,34.57,2232089.6666666665,1708758213.84375,0.0
4.0,107.25857142857141,,,2232537.5,1708758213.94375,0.0
4.0,126.01333333333334,0.538029,34.57,2233081.3333333335,1708758214.04375,0.0
4.0,110.93142857142857,,,2237274.5,1708758214.14375,0.0
4.0,-60.06999999999999,,,2246356.6666666665,1708758214.24375,0.0
4.0,-53.89166666666667,0.548278,34.59,2255467.0,1708758214.34375,0.0
4.0,-28.124285714285715,,,2261764.0,1708758214.44375,0.0
4.0,-40.37166666666667,0.549559,34.59,2255768.0,1708758214.54375,0.0
4.0,-49.11,,,2251519.0,1708758214.64375,0.0
4.0,-15.938333333333333,,,2252490.0,1708758214.74375,0.0
4.0,29.16166666666666,0.55084,34.59,2252659.6666666665,1708758214.84375,0.0
4.0,39.379999999999995,,,2253250.0,1708758214.94375,0.0
4.0,33.835,0.55084,34.59,2255617.0,1708758215.04375,0.0
4.0,38.97571428571428,,,2258440.0,1708758215.14375,0.0
4.0,76.61333333333333,,,2261068.3333333335,1708758215.24375,0.0
4.0,30.084999999999997,0.55084,34.59,2264903.0,1708758215.34375,0.0
4.0,-20.638571428571424,,,2265896.0,1708758215.44375,0.0
4.0,-40.651666666666664,0.549559,34.59,2257365.5,1708758215.54375,0.0
4.0,-50.222857142857144,,,2253629.3333333335,1708758215.64375,0.0
4.0,-65.325,,,2253141.5,1708758215.74375,0.0
4.0,-90.80666666666666,0.549559,34.59,2252687.0,1708758215.84375,0.0
