participant_id,empatica_bvp,empatica_bvp_time,empatica_eda,empatica_eda_time,empatica_temp,empatica_temp_time,samsung_bvp,samsung_bvp_time,CL
8,0.28,1600927960.0,,,,,,,1
8,-5.91,1600927960.015625,,,,,,,1
8,-13.77,1600927960.03125,,,,,,,1
8,-21.87,1600927960.046875,,,,,,,1
8,-28.96,1600927960.0625,,,,,,,1
8,-34.54,1600927960.078125,,,,,,,1
8,-38.89,1600927960.09375,,,,,,,1
8,-42.86,1600927960.109375,,,,,,,1
8,-47.4,1600927960.125,,,,,,,1
8,-53.09,1600927960.140625,,,,,,,1
8,-59.91,1600927960.15625,,,,,,,1
8,-67.13,1600927960.171875,,,,,,,1
8,-73.45,1600927960.1875,,,,,,,1
8,-77.26,1600927960.203125,,,,,,,1
8,-76.92,1600927960.21875,,,,,,,1
8,-71.28,1600927960.234375,,,,,,,1
8,-60.07,1600927960.25,,,,,,,1
8,-44.17,1600927960.265625,,,,,,,1
8,-25.48,1600927960.28125,,,,,,,1
8,-6.42,1600927960.296875,,,,,,,1
8,10.77,1600927960.3125,,,,,,,1
8,24.65,1600927960.328125,,,,,,,1
8,34.89,1600927960.34375,,,,,,,1
8,41.99,1600927960.359375,,,,,,,1
8,46.89,1600927960.375,,,,,,,1
8,50.32,1600927960.390625,,,,,,,1
8,52.51,1600927960.40625,,,,,,,1
8,53.29,1600927960.421875,,,,,,,1
8,52.32,1600927960.4375,,,,,,,1
8,49.59,1600927960.453125,,,,,,,1
8,45.51,1600927960.46875,,,,,,,1
8,40.85,1600927960.484375,,,,,,,1
8,36.42,1600927960.5,,,,,,,1
8,32.71,1600927960.515625,,,,,,,1
8,29.64,1600927960.53125,,,,,,,1
8,26.68,1600927960.546875,,,,,,,1
8,23.19,1600927960.5625,,,,,,,1
8,18.79,1600927960.578125,,,,,,,1
8,13.64,1600927960.59375,,,,,,,1
8,8.42,1600927960.609375,,,,,,,1
8,4.0,1600927960.625,,,,,,,1
8,1.01,1600927960.640625,,,,,,,1
8,-0.57,1600927960.65625,,,,,,,1
8,-1.42,1600927960.671875,,,,,,,1
8,-2.61,1600927960.6875,,,,,,,1
8,-5.08,1600927960.703125,,,,,,,1
8,-9.18,1600927960.71875,,,,,,,1
8,-14.54,1600927960.734375,,,,,,,1
8,-20.2,1600927960.75,,,,,,,1
8,-25.16,1600927960.765625,,,,,,,1
8,-28.8,1600927960.78125,,,,,,,1
8,-31.09,1600927960.796875,,,,,,,1
8,-32.62,1600927960.8125,,,,,,,1
8,-34.16,1600927960.828125,,,,,,,1
8,-36.26,1600927960.84375,,,,,,,1
8,-39.04,1600927960.859375,,,,,,,1
8,-42.1,1600927960.875,,,,,,,1
8,-44.79,1600927960.890625,,,,,,,1
8,-46.5,1600927960.90625,,,,,,,1
8,-46.85,1600927960.921875,,,,,,,1
8,-45.81,1600927960.9375,,,,,,,1
8,-43.56,1600927960.953125,,,,,,,1
8,-40.33,1600927960.96875,,,,,,,1
8,-36.22,1600927960.984375,,,,,,,1
8,-31.16,1600927961.0,,,,,,,1
8,-24.97,1600927961.015625,,,,,,,1
8,-17.52,1600927961.03125,,,,,,,1
8,-8.84,1600927961.046875,,,,,,,1
8,0.94,1600927961.0625,,,,,,,1
8,11.61,1600927961.078125,,,,,,,1
8,22.99,1600927961.09375,,,,,,,1
8,34.8,1600927961.109375,,,,,,,1
8,46.54,1600927961.125,,,,,,,1
8,57.38,1600927961.140625,,,,,,,1
8,66.14,1600927961.15625,,,,,,,1
8,71.63,1600927961.171875,,,,,,,1
8,73.03,1600927961.1875,,,,,,,1
8,70.34,1600927961.203125,,,,,,,1
8,64.35,1600927961.21875,,,,,,,1
8,56.3,1600927961.234375,,,,,,,1
8,47.19,1600927961.25,,,,,,,1
8,37.08,1600927961.265625,,,,,,,1
8,25.02,1600927961.28125,,,,,,,1
8,9.48,1600927961.296875,,,,,,,1
8,-10.69,1600927961.3125,,,,,,,1
8,-35.3,1600927961.328125,,,,,,,1
8,-62.45,1600927961.34375,,,,,,,1
8,-88.81,1600927961.359375,,,,,,,1
8,-110.84,1600927961.375,,,,,,,1
8,-125.98,1600927961.390625,,,,,,,1
8,-133.64,1600927961.40625,,,,,,,1
8,-135.14,1600927961.421875,,,,,,,1
8,-132.9,1600927961.4375,,,,,,,1
8,-129.16,1600927961.453125,,,,,,,1
8,-125.04,1600927961.46875,,,,,,,1
8,-120.38,1600927961.484375,,,,,,,1
8,-114.32,1600927961.5,,,,,,,1
8,-106.19,1600927961.515625,,,,,,,1
8,-96.16,1600927961.53125,,,,,,,1
8,-85.22,1600927961.546875,,,,,,,1
8,-74.59,1600927961.5625,,,,,,,1
8,-65.0,1600927961.578125,,,,,,,1
8,-56.37,1600927961.59375,,,,,,,1
8,-47.96,1600927961.609375,,,,,,,1
8,-39.12,1600927961.625,,,,,,,1
8,-29.8,1600927961.640625,,,,,,,1
8,-20.74,1600927961.65625,,,,,,,1
8,-13.18,1600927961.671875,,,,,,,1
8,-8.22,1600927961.6875,,,,,,,1
8,-6.33,1600927961.703125,,,,,,,1
8,-7.16,1600927961.71875,,,,,,,1
8,-9.87,1600927961.734375,,,,,,,1
8,-13.5,1600927961.75,,,,,,,1
8,-17.42,1600927961.765625,,,,,,,1
8,-21.53,1600927961.78125,,,,,,,1
8,-26.17,1600927961.796875,,,,,,,1
8,-31.86,1600927961.8125,,,,,,,1
8,-39.0,1600927961.828125,,,,,,,1
8,-47.72,1600927961.84375,,,,,,,1
8,-57.78,1600927961.859375,,,,,,,1
8,-68.75,1600927961.875,,,,,,,1
8,-80.1,1600927961.890625,,,,,,,1
8,-91.41,1600927961.90625,,,,,,,1
8,-102.55,1600927961.921875,,,,,,,1
8,-113.67,1600927961.9375,,,,,,,1
8,-125.26,1600927961.953125,,,,,,,1
8,-137.93,1600927961.96875,,,,,,,1
8,-152.27,1600927961.984375,,,,,,,1
8,-168.5,1600927962.0,,,,,,,1
8,-186.27,1600927962.015625,,,,,,,1
8,-204.47,1600927962.03125,,,,,,,1
8,-221.41,1600927962.046875,,,,,,,1
8,-235.09,1600927962.0625,,,,,,,1
8,-243.66,1600927962.078125,,,,,,,1
8,-245.88,1600927962.09375,,,,,,,1
8,-241.36,1600927962.109375,,,,,,,1
8,-230.71,1600927962.125,,,,,,,1
8,-215.28,1600927962.140625,,,,,,,1
8,-196.79,1600927962.15625,,,,,,,1
8,-176.81,1600927962.171875,,,,,,,1
8,-156.21,1600927962.1875,,,,,,,1
8,-134.89,1600927962.203125,,,,,,,1
8,-111.81,1600927962.21875,,,,,,,1
8,-85.39,1600927962.234375,,,,,,,1
8,-54.18,1600927962.25,,,,,,,1
8,-17.36,1600927962.265625,,,,,,,1
