ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,-3.6,,,,1637401885.4670138,1
9.0,-3.51,,,2234067.0,1637401885.480903,1
9.0,-3.41,,,,1637401885.4947915,1
9.0,-3.24,1.269753,35.89,,1637401885.5086806,1
9.0,-3.02,,,2233975.0,1637401885.5225694,1
9.0,-2.88,,,,1637401885.5364585,1
9.0,-2.99,,,2233607.0,1637401885.550347,1
9.0,-3.45,,,,1637401885.5642362,1
,,,,,1637401885.578125,1
9.0,-4.31,,,2233811.0,1637401885.5920138,1
9.0,-5.55,,,,1637401885.605903,1
9.0,-7.12,,,,1637401885.6197915,1
9.0,-8.88,,,2233550.0,1637401885.6336806,1
9.0,-10.7,,,,1637401885.6475694,1
9.0,-12.43,,,,1637401885.6614585,1
9.0,-13.96,,,2233827.0,1637401885.675347,1
9.0,-15.22,,,,1637401885.6892362,1
,,,,,1637401885.703125,1
9.0,-16.28,,,2233875.0,1637401885.7170138,1
9.0,-17.18,,,,1637401885.730903,1
9.0,-17.95,,,,1637401885.7447915,1
9.0,-18.44,1.277438,35.89,2233854.0,1637401885.7586806,1
9.0,-18.4,,,,1637401885.7725694,1
9.0,-17.59,,,,1637401885.7864585,1
9.0,-15.9,,,2234239.0,1637401885.800347,1
9.0,-13.44,,,,1637401885.8142362,1
,,,,,1637401885.828125,1
9.0,-10.5,,,2234073.0,1637401885.8420138,1
9.0,-7.45,,,,1637401885.855903,1
9.0,-4.6,,,,1637401885.8697915,1
9.0,-2.17,,,2232222.0,1637401885.8836806,1
9.0,-0.34,,,,1637401885.8975694,1
9.0,0.75,,,2229525.0,1637401885.9114585,1
9.0,1.02,,,,1637401885.925347,1
9.0,0.5,,,,1637401885.9392362,1
9.0,,,,2227172.0,1637401885.953125,1
9.0,-0.57,,,,1637401885.9670138,1
9.0,-1.82,,,,1637401885.980903,1
9.0,-2.93,,,2225457.0,1637401885.9947915,1
9.0,-3.79,1.324833,35.89,,1637401886.0086806,1
9.0,-4.52,,,,1637401886.0225694,1
9.0,-5.42,,,2223964.0,1637401886.0364585,1
9.0,-6.75,,,,1637401886.050347,1
9.0,-8.58,,,,1637401886.0642362,1
9.0,,,,2222997.0,1637401886.078125,1
9.0,-10.75,,,,1637401886.0920138,1
9.0,-12.96,,,,1637401886.105903,1
9.0,-14.9,,,2222092.0,1637401886.1197915,1
9.0,-16.33,,,,1637401886.1336806,1
9.0,-17.18,,,,1637401886.1475694,1
9.0,-17.57,,,2220993.0,1637401886.1614585,1
9.0,-17.81,,,,1637401886.175347,1
9.0,-18.28,,,,1637401886.1892362,1
9.0,,,,2220183.0,1637401886.203125,1
9.0,-19.31,,,,1637401886.2170138,1
9.0,-20.99,,,,1637401886.230903,1
9.0,-23.0,,,2219463.0,1637401886.2447915,1
9.0,-24.75,1.281281,35.89,,1637401886.2586806,1
9.0,-25.63,,,2218693.0,1637401886.2725694,1
9.0,-25.35,,,,1637401886.2864585,1
9.0,-24.2,,,,1637401886.300347,1
9.0,-22.95,,,2218122.0,1637401886.3142362,1
,,,,,1637401886.328125,1
9.0,-22.44,,,,1637401886.3420138,1
9.0,-23.03,,,2217872.0,1637401886.355903,1
9.0,-24.31,,,,1637401886.3697915,1
9.0,-25.17,,,,1637401886.3836806,1
9.0,-24.35,,,2217799.0,1637401886.3975694,1
9.0,-21.11,,,,1637401886.4114585,1
9.0,-15.62,,,,1637401886.425347,1
9.0,-8.86,,,2217656.0,1637401886.4392362,1
,,,,,1637401886.453125,1
9.0,-2.09,,,,1637401886.4670138,1
9.0,3.91,,,2217989.0,1637401886.480903,1
9.0,9.32,,,,1637401886.4947915,1
9.0,15.1,1.273596,35.89,,1637401886.5086806,1
9.0,22.37,,,2218180.0,1637401886.5225694,1
9.0,31.74,,,,1637401886.5364585,1
9.0,42.97,,,2218195.0,1637401886.550347,1
9.0,55.22,,,,1637401886.5642362,1
,,,,,1637401886.578125,1
9.0,67.62,,,2217970.0,1637401886.5920138,1
9.0,79.54,,,,1637401886.605903,1
9.0,90.6,,,,1637401886.6197915,1
9.0,100.38,,,2218190.0,1637401886.6336806,1
9.0,108.24,,,,1637401886.6475694,1
9.0,113.5,,,,1637401886.6614585,1
9.0,116.03,,,2218105.0,1637401886.675347,1
9.0,116.56,,,,1637401886.6892362,1
,,,,,1637401886.703125,1
9.0,116.66,,,2218372.0,1637401886.7170138,1
9.0,118.11,,,,1637401886.730903,1
9.0,121.94,,,,1637401886.7447915,1
9.0,127.63,1.276157,35.89,2218476.0,1637401886.7586806,1
9.0,132.77,,,,1637401886.7725694,1
9.0,133.75,,,,1637401886.7864585,1
9.0,127.46,,,2219208.0,1637401886.800347,1
9.0,113.3,,,,1637401886.8142362,1
,,,,,1637401886.828125,1
9.0,94.16,,,2219387.0,1637401886.8420138,1
9.0,75.83,,,,1637401886.855903,1
9.0,64.27,,,,1637401886.8697915,1
9.0,62.15,,,2218859.0,1637401886.8836806,1
9.0,66.56,,,,1637401886.8975694,1
9.0,69.59,,,2216742.0,1637401886.9114585,1
9.0,62.15,,,,1637401886.925347,1
9.0,38.88,,,,1637401886.9392362,1
9.0,,,,2214219.0,1637401886.953125,1
9.0,1.57,,,,1637401886.9670138,1
9.0,-41.34,,,,1637401886.980903,1
9.0,-78.69,,,2214625.0,1637401886.9947915,1
9.0,-102.18,1.268472,35.89,,1637401887.0086806,1
9.0,-109.91,,,,1637401887.0225694,1
9.0,-106.22,,,2217032.0,1637401887.0364585,1
9.0,-98.28,,,,1637401887.050347,1
9.0,-91.81,,,,1637401887.0642362,1
9.0,,,,2215679.0,1637401887.078125,1
9.0,-88.53,,,,1637401887.0920138,1
9.0,-86.56,,,,1637401887.105903,1
9.0,-83.04,,,2213248.0,1637401887.1197915,1
9.0,-76.64,,,,1637401887.1336806,1
9.0,-68.53,,,,1637401887.1475694,1
9.0,-61.67,,,2210599.0,1637401887.1614585,1
9.0,-58.7,,,,1637401887.175347,1
9.0,-60.38,,,,1637401887.1892362,1
9.0,,,,2209645.0,1637401887.203125,1
9.0,-65.07,,,,1637401887.2170138,1
9.0,-69.75,,,,1637401887.230903,1
9.0,-71.53,,,2211932.0,1637401887.2447915,1
9.0,-69.01,1.276157,35.89,,1637401887.2586806,1
9.0,-62.75,,,2212997.0,1637401887.2725694,1
9.0,-54.84,,,,1637401887.2864585,1
9.0,-47.82,,,,1637401887.300347,1
9.0,-43.39,,,2213374.0,1637401887.3142362,1
,,,,,1637401887.328125,1
9.0,-41.75,,,,1637401887.3420138,1
9.0,-41.7,,,2214319.0,1637401887.355903,1
9.0,-41.21,,,,1637401887.3697915,1
9.0,-38.61,,,,1637401887.3836806,1
9.0,-33.24,,,2215237.0,1637401887.3975694,1
9.0,-25.77,,,,1637401887.4114585,1
9.0,-17.85,,,,1637401887.425347,1
9.0,-11.21,,,2217458.0,1637401887.4392362,1
,,,,,1637401887.453125,1
9.0,-6.97,,,,1637401887.4670138,1
9.0,-5.21,,,2219786.0,1637401887.480903,1
9.0,-5.06,,,,1637401887.4947915,1
9.0,-5.28,1.274876,35.89,,1637401887.5086806,1
9.0,-4.73,,,2221488.0,1637401887.5225694,1
9.0,-2.9,,,,1637401887.5364585,1
9.0,0.08,,,,1637401887.550347,1
9.0,3.68,,,2223141.0,1637401887.5642362,1
,,,,,1637401887.578125,1
9.0,7.28,,,2222357.0,1637401887.5920138,1
9.0,10.49,,,,1637401887.605903,1
9.0,13.25,,,,1637401887.6197915,1
9.0,15.79,,,2222463.0,1637401887.6336806,1
9.0,18.27,,,,1637401887.6475694,1
9.0,20.74,,,,1637401887.6614585,1
9.0,22.99,,,2222864.0,1637401887.675347,1
9.0,24.88,,,,1637401887.6892362,1
,,,,,1637401887.703125,1
9.0,26.54,,,2223667.0,1637401887.7170138,1
9.0,28.39,,,,1637401887.730903,1
9.0,31.03,,,,1637401887.7447915,1
9.0,34.76,1.273596,35.89,2223515.0,1637401887.7586806,1
9.0,39.37,,,,1637401887.7725694,1
9.0,44.07,,,,1637401887.7864585,1
9.0,47.92,,,2222574.0,1637401887.800347,1
9.0,50.26,,,,1637401887.8142362,1
,,,,,1637401887.828125,1
9.0,51.08,,,2221587.0,1637401887.8420138,1
9.0,50.86,,,,1637401887.855903,1
9.0,50.37,,,,1637401887.8697915,1
9.0,50.14,,,2221913.0,1637401887.8836806,1
9.0,50.28,,,,1637401887.8975694,1
9.0,50.59,,,,1637401887.9114585,1
9.0,50.75,,,2223620.0,1637401887.925347,1
9.0,50.56,,,,1637401887.9392362,1
9.0,,,,2223249.0,1637401887.953125,1
9.0,50.04,,,,1637401887.9670138,1
9.0,49.25,,,,1637401887.980903,1
9.0,48.31,,,2222544.0,1637401887.9947915,1
9.0,47.31,1.267191,35.89,,1637401888.0086806,1
9.0,46.4,,,,1637401888.0225694,1
9.0,45.85,,,2221700.0,1637401888.0364585,1
9.0,45.84,,,,1637401888.050347,1
9.0,46.39,,,,1637401888.0642362,1
9.0,,,,2218726.0,1637401888.078125,1
9.0,47.14,,,,1637401888.0920138,1
9.0,47.4,,,,1637401888.105903,1
9.0,46.44,,,2215872.0,1637401888.1197915,1
9.0,43.81,,,,1637401888.1336806,1
9.0,39.56,,,,1637401888.1475694,1
9.0,34.27,,,2212292.0,1637401888.1614585,1
9.0,28.73,,,,1637401888.175347,1
9.0,23.58,,,,1637401888.1892362,1
9.0,,,,2217266.0,1637401888.203125,1
9.0,18.94,,,,1637401888.2170138,1
9.0,14.36,,,2214860.0,1637401888.230903,1
9.0,9.15,,,,1637401888.2447915,1
9.0,2.62,1.263348,35.83,,1637401888.2586806,1
9.0,-5.46,,,2211502.0,1637401888.2725694,1
9.0,-14.83,,,,1637401888.2864585,1
9.0,-24.83,,,,1637401888.300347,1
9.0,-34.7,,,2215732.0,1637401888.3142362,1
,,,,,1637401888.328125,1
9.0,-43.79,,,,1637401888.3420138,1
9.0,-51.69,,,2218879.0,1637401888.355903,1
9.0,-58.14,,,,1637401888.3697915,1
9.0,-63.02,,,,1637401888.3836806,1
9.0,-66.24,,,2222034.0,1637401888.3975694,1
9.0,-67.83,,,,1637401888.4114585,1
9.0,-67.99,,,,1637401888.425347,1
9.0,-67.15,,,2222656.0,1637401888.4392362,1
,,,,,1637401888.453125,1
9.0,-65.87,,,,1637401888.4670138,1
9.0,-64.68,,,2223841.0,1637401888.480903,1
9.0,-63.81,,,,1637401888.4947915,1
9.0,-63.21,1.260786,35.83,,1637401888.5086806,1
9.0,-62.55,,,2225050.0,1637401888.5225694,1
9.0,-61.5,,,,1637401888.5364585,1
9.0,-59.86,,,,1637401888.550347,1
9.0,-57.69,,,2229011.0,1637401888.5642362,1
,,,,,1637401888.578125,1
9.0,-55.27,,,2230633.0,1637401888.5920138,1
9.0,-52.96,,,,1637401888.605903,1
9.0,-50.97,,,,1637401888.6197915,1
9.0,-49.3,,,2232331.0,1637401888.6336806,1
9.0,-47.71,,,,1637401888.6475694,1
9.0,-45.81,,,,1637401888.6614585,1
9.0,-43.31,,,2230728.0,1637401888.675347,1
9.0,-40.14,,,,1637401888.6892362,1
,,,,,1637401888.703125,1
9.0,-36.66,,,2229016.0,1637401888.7170138,1
9.0,-33.54,,,,1637401888.730903,1
9.0,-31.59,,,,1637401888.7447915,1
9.0,-31.5,1.276157,35.83,2239280.0,1637401888.7586806,1
9.0,-33.58,,,,1637401888.7725694,1
9.0,-37.57,,,,1637401888.7864585,1
9.0,-42.61,,,2263245.0,1637401888.800347,1
9.0,-47.25,,,,1637401888.8142362,1
,,,,,1637401888.828125,1
9.0,-49.79,,,2276582.0,1637401888.8420138,1
9.0,-48.63,,,,1637401888.855903,1
9.0,-42.87,,,2281350.0,1637401888.8697915,1
9.0,-32.69,,,,1637401888.8836806,1
9.0,-19.37,,,,1637401888.8975694,1
9.0,-5.02,,,2279307.0,1637401888.9114585,1
9.0,8.13,,,,1637401888.925347,1
9.0,18.46,,,,1637401888.9392362,1
9.0,,,,2274822.0,1637401888.953125,1
9.0,25.39,,,,1637401888.9670138,1
9.0,29.37,,,,1637401888.980903,1
9.0,31.36,,,2270315.0,1637401888.9947915,1
9.0,32.35,1.278719,35.83,,1637401889.0086806,1
9.0,32.83,,,2266783.0,1637401889.0225694,1
9.0,32.9,,,,1637401889.0364585,1
