ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,7.071428571428571,1.437384,34.18,2097618.0,1637402255.35,0.0
9.0,2.6933333333333334,,,2100102.0,1637402255.45,0.0
9.0,0.2714285714285714,1.461719,34.18,2102744.6666666665,1637402255.55,0.0
9.0,9.866666666666667,,,2105516.5,1637402255.65,0.0
9.0,13.883333333333333,,,2108607.0,1637402255.75,0.0
9.0,6.73,1.653936,34.18,2112068.5,1637402255.85,0.0
9.0,-15.463333333333331,,,2115840.6666666665,1637402255.95,0.0
9.0,-76.53857142857143,1.451571,34.18,2119695.0,1637402256.05,0.0
9.0,-116.835,,,2119770.333333333,1637402256.15,0.0
9.0,-72.83999999999999,,,2117429.0,1637402256.25,0.0
9.0,-11.468571428571428,1.440044,34.18,2117654.0,1637402256.35,0.0
9.0,129.76333333333332,,,2117859.0,1637402256.45,0.0
9.0,179.6042857142857,1.43364,34.18,2118647.6666666665,1637402256.55,0.0
9.0,110.31666666666666,,,2120518.0,1637402256.65,0.0
9.0,-40.625,,,2122727.6666666665,1637402256.75,0.0
9.0,-84.17857142857143,1.43364,34.18,2125038.5,1637402256.85,0.0
9.0,-91.73,,,2127810.6666666665,1637402256.95,0.0
9.0,-58.39142857142857,1.437483,34.18,2130902.5,1637402257.05,0.0
9.0,-46.84333333333333,,,2134160.6666666665,1637402257.15,0.0
9.0,-35.79333333333333,,,2137578.0,1637402257.25,0.0
9.0,4.194285714285714,1.437483,34.16,2136891.6666666665,1637402257.35,0.0
9.0,5.831666666666667,,,2134305.0,1637402257.45,0.0
9.0,11.570000000000002,1.43364,34.16,2134499.6666666665,1637402257.55,0.0
9.0,2.306666666666666,,,2134833.5,1637402257.65,0.0
9.0,-2.5766666666666667,,,2135408.333333333,1637402257.75,0.0
9.0,-4.217142857142858,1.427236,34.16,2136917.0,1637402257.85,0.0
9.0,-10.846666666666666,,,2138280.0,1637402257.95,0.0
9.0,-11.56,1.424675,34.16,2140407.0,1637402258.05,0.0
9.0,-3.01,,,2142665.333333333,1637402258.15,0.0
9.0,19.39333333333333,,,2145604.0,1637402258.25,0.0
9.0,48.74428571428571,1.422113,34.15,2148567.333333333,1637402258.35,0.0
9.0,67.64833333333333,,,2150959.0,1637402258.45,0.0
9.0,60.33571428571429,1.414428,34.15,2148502.333333333,1637402258.55,0.0
9.0,33.27,,,2147104.0,1637402258.65,0.0
9.0,-7.659999999999999,,,2146883.0,1637402258.75,0.0
9.0,-53.98,1.413148,34.15,2146890.5,1637402258.85,0.0
9.0,-65.995,,,2147795.333333333,1637402258.95,0.0
9.0,-56.08857142857143,1.410586,34.15,2151082.5,1637402259.05,0.0
9.0,-60.49666666666667,,,2161332.6666666665,1637402259.15,0.0
9.0,-71.385,,,2171015.5,1637402259.25,0.0
9.0,-84.43142857142857,1.411867,34.16,2175788.333333333,1637402259.35,0.0
9.0,-57.33833333333334,,,2176780.0,1637402259.45,0.0
9.0,3.444285714285713,1.409305,34.16,2175571.6666666665,1637402259.55,0.0
9.0,16.588333333333335,,,2170574.0,1637402259.65,0.0
9.0,23.74666666666667,,,2168183.0,1637402259.75,0.0
9.0,34.03142857142858,1.411867,34.16,2167859.0,1637402259.85,0.0
9.0,18.79,,,2167558.333333333,1637402259.95,0.0
9.0,2.375714285714285,1.418271,34.16,2168181.5,1637402260.05,0.0
9.0,-14.420000000000002,,,2169105.333333333,1637402260.15,0.0
9.0,-41.38666666666666,,,2169826.0,1637402260.25,0.0
9.0,-86.03285714285714,1.414428,34.16,2170871.0,1637402260.35,0.0
9.0,-93.29333333333334,,,2173321.5,1637402260.45,0.0
9.0,6.979999999999998,1.415709,34.16,2174635.0,1637402260.55,0.0
9.0,38.22166666666666,,,2172872.5,1637402260.65,0.0
9.0,38.82666666666667,,,2171626.0,1637402260.75,0.0
9.0,51.45,1.418271,34.16,2171959.5,1637402260.85,0.0
9.0,19.121666666666663,,,2172075.0,1637402260.95,0.0
9.0,-29.67428571428571,1.418271,34.16,2173092.5,1637402261.05,0.0
9.0,-83.72833333333334,,,2174841.6666666665,1637402261.15,0.0
9.0,-103.78333333333336,,,2176565.0,1637402261.25,0.0
9.0,16.02285714285714,1.418271,34.15,2178165.0,1637402261.35,0.0
9.0,39.99666666666667,,,2177028.5,1637402261.45,0.0
9.0,34.598571428571425,1.413148,34.15,2175689.6666666665,1637402261.55,0.0
9.0,45.36166666666667,,,2176820.5,1637402261.65,0.0
9.0,5.75,,,2177333.6666666665,1637402261.75,0.0
9.0,-53.58714285714286,1.41699,34.15,2178566.5,1637402261.85,0.0
9.0,-61.11833333333333,,,2181261.333333333,1637402261.95,0.0
9.0,46.00857142857143,1.413148,34.15,2183859.5,1637402262.05,0.0
9.0,33.6,,,2182976.6666666665,1637402262.15,0.0
9.0,19.243333333333336,,,2182785.0,1637402262.25,0.0
9.0,-4.752857142857144,1.418271,34.13,2184285.333333333,1637402262.35,0.0
9.0,-79.93333333333334,,,2185579.0,1637402262.45,0.0
9.0,-163.4357142857143,1.423394,34.13,2187739.6666666665,1637402262.55,0.0
9.0,-48.84666666666666,,,2190980.0,1637402262.65,0.0
9.0,122.835,,,2192545.0,1637402262.75,0.0
9.0,160.71428571428572,1.424675,34.13,2189268.5,1637402262.85,0.0
9.0,162.17499999999998,,,2187983.333333333,1637402262.95,0.0
9.0,137.81857142857143,1.423394,34.13,2187869.5,1637402263.05,0.0
9.0,96.98,,,2187731.0,1637402263.15,0.0
9.0,65.51166666666667,,,2188629.5,1637402263.25,0.0
9.0,33.550000000000004,1.420832,34.15,2190240.6666666665,1637402263.35,0.0
9.0,-10.641666666666667,,,2192297.5,1637402263.45,0.0
9.0,-64.36857142857143,1.420832,34.15,2194829.333333333,1637402263.55,0.0
9.0,-129.50666666666666,,,2197409.5,1637402263.65,0.0
9.0,-194.66666666666663,,,2200565.0,1637402263.75,0.0
9.0,-42.85857142857143,1.419551,34.15,2204025.0,1637402263.85,0.0
9.0,64.93666666666667,,,2203992.6666666665,1637402263.95,0.0
9.0,94.99857142857142,1.423394,34.15,2201820.5,1637402264.05,0.0
9.0,113.785,,,2202034.333333333,1637402264.15,0.0
9.0,102.19,,,2203230.5,1637402264.25,0.0
9.0,79.75428571428571,1.419551,34.15,2205299.6666666665,1637402264.35,0.0
9.0,63.69499999999999,,,2208240.0,1637402264.45,0.0
9.0,42.66,1.420832,34.15,2211765.0,1637402264.55,0.0
9.0,17.136666666666667,,,2215769.0,1637402264.65,0.0
9.0,-10.816666666666668,,,2220279.333333333,1637402264.75,0.0
9.0,-50.44714285714286,1.425956,34.15,2224699.5,1637402264.85,0.0
9.0,-98.755,,,2228176.5,1637402264.95,0.0
9.0,-163.14142857142858,1.428517,34.15,2232686.0,1637402265.05,0.0
9.0,-62.025,,,2237350.5,1637402265.15,0.0
9.0,41.031666666666666,,,2241011.6666666665,1637402265.25,0.0
9.0,70.91857142857144,1.425956,34.15,2244053.0,1637402265.35,0.0
9.0,88.43333333333334,,,2247693.0,1637402265.45,0.0
9.0,86.02285714285713,1.424675,34.15,2251477.0,1637402265.55,0.0
9.0,62.295,,,2255120.0,1637402265.65,0.0
9.0,44.333333333333336,,,2259071.0,1637402265.75,0.0
9.0,25.082857142857144,1.425956,34.15,2263250.333333333,1637402265.85,0.0
9.0,-3.481666666666667,,,2266987.5,1637402265.95,0.0
9.0,-34.70142857142857,1.425956,34.15,2271052.6666666665,1637402266.05,0.0
9.0,-72.07166666666666,,,2275848.6666666665,1637402266.15,0.0
9.0,-118.89333333333332,,,2279844.0,1637402266.25,0.0
9.0,-123.24,1.419551,34.13,2284076.6666666665,1637402266.35,0.0
9.0,11.006666666666666,,,2287947.5,1637402266.45,0.0
9.0,56.02428571428571,1.422113,34.13,2290631.333333333,1637402266.55,0.0
9.0,72.25166666666665,,,2293862.0,1637402266.65,0.0
9.0,82.855,,,2297321.333333333,1637402266.75,0.0
9.0,73.70857142857143,1.424675,34.13,2300273.5,1637402266.85,0.0
9.0,67.32333333333334,,,2303365.6666666665,1637402266.95,0.0
