ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,-3.24,1.269753,35.89,2233975.0,1637401885.513542,1
9.0,-18.44,1.277438,35.89,2233854.0,1637401885.755208,1
9.0,127.63,1.276157,35.89,2218476.0,1637401886.762153,1
9.0,-90.435,1.268472,35.89,2214625.0,1637401887.00382,1
9.0,37.065,1.273596,35.89,2223515.0,1637401887.769097,1
9.0,47.31,1.267191,35.89,2222544.0,1637401888.010764,1
9.0,-63.21,1.260786,35.83,2225050.0,1637401888.514236,1
9.0,-31.5,1.276157,35.83,2239280.0,1637401888.755903,1
9.0,-6.01,1.271034,35.79,2251409.0,1637401889.501042,1
9.0,-5.225,1.26591,35.77,2241097.0,1637401890.26632,1
9.0,23.215,1.267191,35.77,2240753.0,1637401890.769792,1
9.0,4.72,1.263348,35.77,2257172.0,1637401891.011458,1
9.0,3.09,1.247977,35.81,2276064.0,1637401891.253125,1
9.0,69.37,1.2531,35.79,2268069.0,1637401892.763542,1
9.0,15.635,1.26591,35.79,2276621.0,1637401893.267014,1
9.0,-7.05,1.256943,35.79,2280463.0,1637401893.508681,1
9.0,-38.99,1.260786,35.79,2274941.0,1637401893.750347,1
9.0,-0.38,1.26591,35.79,2308605.0,1637401894.515625,1
9.0,-2.34,1.274876,35.79,2299434.0,1637401894.757292,1
9.0,3.24,1.26591,35.77,2293003.0,1637401895.764236,1
9.0,-4.32,1.268472,35.77,2294094.0,1637401896.005903,1
9.0,12.455,1.263348,35.77,2289762.0,1637401896.751042,1
9.0,3.13,1.263348,35.77,2315894.0,1637401897.51632,1
9.0,-0.95,1.260786,35.77,2314681.0,1637401897.757986,1
9.0,1.95,1.254381,35.77,2304634.0,1637401898.76493,1
9.0,5.92,1.256943,35.77,2301277.0,1637401899.006597,1
9.0,1.635,1.259505,35.77,2330189.0,1637401899.751736,1
9.0,15.39,1.263348,35.77,2326751.0,1637401900.517014,1
9.0,-36.92,1.263348,35.77,2342336.0,1637401900.758681,1
9.0,74.87,1.256943,35.77,2319783.0,1637401901.262153,1
9.0,-5.69,1.255662,35.77,2322179.0,1637401901.50382,1
9.0,-11.185,1.250539,35.73,2329245.0,1637401902.269097,1
9.0,12.02,1.242853,35.73,2338519.0,1637401903.014236,1
9.0,-0.89,1.245415,35.73,2324485.0,1637401903.255903,1
9.0,3.11,1.236448,35.73,2310715.0,1637401904.262847,1
9.0,1.365,1.237729,35.73,2302980.0,1637401904.504514,1
