ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,-3.235714,1.269753,35.890000,2233883.000000,1637401885.553125,1.0
9.0,-6.668333,nan,nan,2233680.500000,1637401885.653125,1.0
9.0,-15.922857,1.277438,35.890000,2233852.000000,1637401885.753125,1.0
9.0,-13.880000,nan,nan,2234156.000000,1637401885.853125,1.0
9.0,-0.806667,nan,nan,2229639.666667,1637401885.953125,1.0
9.0,-3.685714,1.324833,35.890000,2224710.500000,1637401886.053125,1.0
9.0,-13.450000,nan,nan,2222027.333333,1637401886.153125,1.0
9.0,-20.244286,1.281281,35.890000,2219823.000000,1637401886.253125,1.0
9.0,-23.933333,nan,nan,2218229.000000,1637401886.353125,1.0
9.0,-19.903333,nan,nan,2217727.500000,1637401886.453125,1.0
9.0,17.617143,1.273596,35.890000,2218121.333333,1637401886.553125,1.0
9.0,83.600000,nan,nan,2218080.000000,1637401886.653125,1.0
9.0,118.632857,1.276157,35.890000,2218317.666667,1637401886.753125,1.0
9.0,112.878333,nan,nan,2219297.500000,1637401886.853125,1.0
9.0,60.600000,nan,nan,2216606.666667,1637401886.953125,1.0
9.0,-76.435714,1.268472,35.890000,2215828.500000,1637401887.053125,1.0
9.0,-82.518333,nan,nan,2213175.333333,1637401887.153125,1.0
9.0,-65.158571,1.276157,35.890000,2210788.500000,1637401887.253125,1.0
9.0,-48.708333,nan,nan,2213563.333333,1637401887.353125,1.0
9.0,-27.981667,nan,nan,2216347.500000,1637401887.453125,1.0
9.0,-4.295714,1.274876,35.890000,2221471.666667,1637401887.553125,1.0
9.0,11.460000,nan,nan,2222410.000000,1637401887.653125,1.0
9.0,27.047143,1.273596,35.890000,2223348.666667,1637401887.753125,1.0
9.0,47.260000,nan,nan,2222080.500000,1637401887.853125,1.0
9.0,50.448333,nan,nan,2222927.333333,1637401887.953125,1.0
9.0,47.571429,1.267191,35.890000,2222122.000000,1637401888.053125,1.0
9.0,45.123333,nan,nan,2215630.000000,1637401888.153125,1.0
9.0,18.807143,1.263348,35.830000,2216063.000000,1637401888.253125,1.0
9.0,-29.216667,nan,nan,2215371.000000,1637401888.353125,1.0
9.0,-65.061667,nan,nan,2222345.000000,1637401888.453125,1.0
9.0,-63.068571,1.260786,35.830000,2225967.333333,1637401888.553125,1.0
9.0,-52.316667,nan,nan,2231482.000000,1637401888.653125,1.0
9.0,-37.507143,1.276157,35.830000,2233008.000000,1637401888.753125,1.0
9.0,-43.238333,nan,nan,2269913.500000,1637401888.853125,1.0
9.0,-12.226667,nan,nan,2278493.000000,1637401888.953125,1.0
9.0,30.941429,1.278719,35.830000,2268549.000000,1637401889.053125,1.0
9.0,28.808333,nan,nan,2264173.000000,1637401889.153125,1.0
9.0,24.571429,1.271034,35.790000,2260840.000000,1637401889.253125,1.0
9.0,10.156667,nan,nan,2256850.000000,1637401889.353125,1.0
9.0,1.310000,nan,nan,2254694.000000,1637401889.453125,1.0
9.0,-7.197143,1.271034,35.790000,2251306.666667,1637401889.553125,1.0
9.0,-15.585000,nan,nan,2246180.500000,1637401889.653125,1.0
9.0,-28.637143,1.272315,35.790000,2243413.000000,1637401889.753125,1.0
9.0,22.835000,nan,nan,2241640.500000,1637401889.853125,1.0
9.0,40.698333,nan,nan,2240095.333333,1637401889.953125,1.0
9.0,20.558571,1.273596,35.790000,2239514.500000,1637401890.053125,1.0
9.0,10.210000,nan,nan,2239613.333333,1637401890.153125,1.0
9.0,1.597143,1.265910,35.770000,2240426.500000,1637401890.253125,1.0
9.0,-10.561667,nan,nan,2240865.666667,1637401890.353125,1.0
9.0,-22.946667,nan,nan,2245593.666667,1637401890.453125,1.0
9.0,-27.600000,1.258224,35.770000,2246863.000000,1637401890.553125,1.0
9.0,-10.151667,nan,nan,2243287.333333,1637401890.653125,1.0
9.0,28.555714,1.267191,35.770000,2240527.500000,1637401890.753125,1.0
9.0,18.311667,nan,nan,2241157.666667,1637401890.853125,1.0
9.0,12.115000,nan,nan,2245507.000000,1637401890.953125,1.0
9.0,3.158571,1.263348,35.770000,2256148.666667,1637401891.053125,1.0
9.0,-11.618333,nan,nan,2276719.500000,1637401891.153125,1.0
9.0,1.644286,1.247977,35.810000,2278662.666667,1637401891.253125,1.0
9.0,-4.821667,nan,nan,2271023.000000,1637401891.353125,1.0
9.0,-9.836667,nan,nan,2265872.000000,1637401891.453125,1.0
9.0,14.291429,1.241572,35.810000,2266027.500000,1637401891.553125,1.0
9.0,4.058333,nan,nan,2266902.333333,1637401891.653125,1.0
9.0,-1.507143,1.251819,35.810000,2267832.500000,1637401891.753125,1.0
9.0,-6.213333,nan,nan,2266690.000000,1637401891.853125,1.0
9.0,-13.230000,nan,nan,2265504.500000,1637401891.953125,1.0
9.0,-23.914286,1.250539,35.810000,2266178.000000,1637401892.053125,1.0
9.0,-32.998333,nan,nan,2264574.500000,1637401892.153125,1.0
9.0,-62.748571,1.242853,35.790000,2262775.000000,1637401892.253125,1.0
9.0,-80.051667,nan,nan,2261809.500000,1637401892.353125,1.0
9.0,-37.253333,nan,nan,2262683.666667,1637401892.453125,1.0
9.0,43.127143,1.237729,35.790000,2264103.333333,1637401892.553125,1.0
9.0,73.260000,nan,nan,2265522.000000,1637401892.653125,1.0
9.0,71.982857,1.253100,35.790000,2266910.666667,1637401892.753125,1.0
9.0,59.498333,nan,nan,2269105.500000,1637401892.853125,1.0
9.0,52.461667,nan,nan,2270385.333333,1637401892.953125,1.0
9.0,44.771429,1.256943,35.790000,2273609.000000,1637401893.053125,1.0
9.0,37.008333,nan,nan,2275460.666667,1637401893.153125,1.0
9.0,25.591429,1.265910,35.790000,2276263.500000,1637401893.253125,1.0
9.0,7.578333,nan,nan,2278634.666667,1637401893.353125,1.0
9.0,-12.265000,nan,nan,2282113.000000,1637401893.453125,1.0
9.0,-7.427143,1.256943,35.790000,2280224.333333,1637401893.553125,1.0
9.0,-8.261667,nan,nan,2274975.000000,1637401893.653125,1.0
9.0,-32.204286,1.260786,35.790000,2276023.000000,1637401893.753125,1.0
9.0,-44.745000,nan,nan,2271232.000000,1637401893.853125,1.0
9.0,-49.705000,nan,nan,2266229.333333,1637401893.953125,1.0
9.0,-25.881429,1.268472,35.790000,2277568.000000,1637401894.053125,1.0
9.0,6.641667,nan,nan,2280981.333333,1637401894.153125,1.0
9.0,8.687143,1.271034,35.790000,2293984.500000,1637401894.253125,1.0
9.0,1.176667,nan,nan,2324075.000000,1637401894.353125,1.0
9.0,-1.950000,nan,nan,2315739.000000,1637401894.453125,1.0
9.0,-1.921429,1.265910,35.790000,2308837.000000,1637401894.553125,1.0
9.0,-13.915000,nan,nan,2302047.000000,1637401894.653125,1.0
9.0,-7.658571,1.274876,35.790000,2300057.333333,1637401894.753125,1.0
9.0,4.380000,nan,nan,2298006.500000,1637401894.853125,1.0
9.0,5.451667,nan,nan,2297112.666667,1637401894.953125,1.0
9.0,-1.422857,1.274876,35.790000,2299560.000000,1637401895.053125,1.0
9.0,-2.578333,nan,nan,2300678.000000,1637401895.153125,1.0
9.0,-0.550000,1.272315,35.770000,2301383.000000,1637401895.253125,1.0
9.0,-5.041667,nan,nan,2298158.666667,1637401895.353125,1.0
9.0,-10.951667,nan,nan,2295472.500000,1637401895.453125,1.0
9.0,-4.212857,1.267191,35.770000,2294433.666667,1637401895.553125,1.0
9.0,3.706667,nan,nan,2293502.500000,1637401895.653125,1.0
9.0,2.797143,1.265910,35.770000,2293185.000000,1637401895.753125,1.0
9.0,0.221667,nan,nan,2293012.500000,1637401895.853125,1.0
9.0,-2.016667,nan,nan,2293573.333333,1637401895.953125,1.0
9.0,-4.094286,1.268472,35.770000,2293964.000000,1637401896.053125,1.0
9.0,-3.170000,nan,nan,2291078.333333,1637401896.153125,1.0
9.0,-4.654286,1.268472,35.770000,2288520.500000,1637401896.253125,1.0
9.0,-2.185000,nan,nan,2286027.000000,1637401896.353125,1.0
9.0,6.875000,nan,nan,2284488.500000,1637401896.453125,1.0
9.0,8.081429,1.264629,35.770000,2286318.666667,1637401896.553125,1.0
9.0,3.255000,nan,nan,2289222.000000,1637401896.653125,1.0
9.0,12.200000,1.263348,35.770000,2289949.000000,1637401896.753125,1.0
9.0,4.931667,nan,nan,2289814.500000,1637401896.853125,1.0
9.0,-3.178333,nan,nan,2291809.666667,1637401896.953125,1.0
9.0,-1.095714,1.269753,35.770000,2293655.500000,1637401897.053125,1.0
9.0,2.746667,nan,nan,2322801.000000,1637401897.153125,1.0
9.0,-0.971429,1.271034,35.770000,2327743.000000,1637401897.253125,1.0
9.0,-0.913333,nan,nan,2320913.333333,1637401897.353125,1.0
9.0,-3.078333,nan,nan,2317454.500000,1637401897.453125,1.0
9.0,1.641429,1.263348,35.770000,2315884.666667,1637401897.553125,1.0
9.0,0.790000,nan,nan,2315154.000000,1637401897.653125,1.0
