ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9,-18.44,1.277438,35.89,2233854.0,1637401885.758681,1
9,127.63,1.276157,35.89,2218476.0,1637401886.758681,1
9,34.76,1.273596,35.89,2223515.0,1637401887.758681,1
9,-31.5,1.276157,35.83,2239280.0,1637401888.758681,1
9,-7.08,1.271034,35.79,2251409.0,1637401889.508681,1
9,-4.65,1.26591,35.77,2241097.0,1637401890.258681,1
9,4.72,1.263348,35.77,2257172.0,1637401891.008681,1
9,-24.5,1.250539,35.81,2266443.0,1637401892.008681,1
9,69.37,1.2531,35.79,2268069.0,1637401892.758681,1
9,-7.05,1.256943,35.79,2280463.0,1637401893.508681,1
9,-39.58,1.260786,35.79,2274941.0,1637401893.758681,1
9,-0.38,1.26591,35.79,2308605.0,1637401894.508681,1
9,-3.96,1.267191,35.77,2294403.0,1637401895.508681,1
9,3.24,1.26591,35.77,2293003.0,1637401895.758681,1
9,11.73,1.263348,35.77,2289762.0,1637401896.758681,1
9,-0.95,1.260786,35.77,2314681.0,1637401897.758681,1
9,1.95,1.254381,35.77,2304634.0,1637401898.758681,1
9,1.96,1.259505,35.77,2330189.0,1637401899.758681,1
9,13.91,1.263348,35.77,2326751.0,1637401900.508681,1
9,74.87,1.256943,35.77,2319783.0,1637401901.258681,1
9,-11.53,1.250539,35.73,2329245.0,1637401902.258681,1
9,-0.89,1.245415,35.73,2324485.0,1637401903.258681,1
9,3.11,1.236448,35.73,2310715.0,1637401904.258681,1
9,2.21,1.227481,35.73,2340946.0,1637401905.258681,1
9,2.32,1.233886,35.73,2332906.0,1637401905.508681,1
9,-3.26,1.226201,35.71,2296515.0,1637401906.508681,1
9,-3.37,1.235167,35.71,2292101.0,1637401906.758681,1
9,-8.99,1.231324,35.71,2344988.0,1637401907.508681,1
9,12.0,1.231324,35.71,2334686.0,1637401907.758681,1
9,4.83,1.221077,35.71,2290159.0,1637401908.758681,1
9,-1.33,1.218515,35.68,2275681.0,1637401909.508681,1
9,-2.2,1.218515,35.71,2250263.0,1637401910.508681,1
9,1.45,1.219796,35.71,2239602.0,1637401910.758681,1
9,2.89,1.221077,35.68,2211125.0,1637401911.258681,1
9,0.32,1.214672,35.68,2204614.0,1637401911.508681,1
9,-1.53,1.213391,35.68,2213818.0,1637401912.008681,1
9,-2.73,1.218515,35.68,2233791.0,1637401912.258681,1
9,2.61,1.21211,35.68,2197110.0,1637401913.008681,1
9,1.23,1.217234,35.65,2180666.0,1637401914.008681,1
9,7.89,1.218515,35.63,2187863.0,1637401914.508681,1
9,6.52,1.208267,35.65,2230611.0,1637401915.258681,1
9,-0.21,1.210829,35.65,2216927.0,1637401916.008681,1
9,6.15,1.210829,35.65,2272419.0,1637401917.008681,1
9,4.72,1.210829,35.65,2237685.0,1637401918.008681,1
9,-7.14,1.204425,35.63,2229353.0,1637401918.508681,1
9,2.36,1.209548,35.63,2230052.0,1637401918.758681,1
9,11.04,1.200582,35.63,2225747.0,1637401919.258681,1
9,1.67,1.208267,35.63,2252892.0,1637401920.008681,1
9,-0.72,1.201863,35.61,2239295.0,1637401920.758681,1
9,4.5,1.199301,35.59,2264608.0,1637401921.758681,1
9,-10.14,1.200582,35.59,2289792.0,1637401922.508681,1
