participant_id,empatica_bvp,empatica_bvp_time,empatica_eda,empatica_eda_time,empatica_temp,empatica_temp_time,samsung_bvp,samsung_bvp_time,CL
6,130.04,1611470310.25,,,,,,,1
6,132.07,1611470310.265625,,,,,,,1
6,143.27,1611470310.28125,,,,,,,1
6,160.74,1611470310.296875,,,,,,,1
6,179.06,1611470310.3125,,,,,,,1
6,192.44,1611470310.328125,,,,,,,1
6,197.02,1611470310.34375,,,,,,,1
6,192.09,1611470310.359375,,,,,,,1
6,179.9,1611470310.375,,,,,,,1
6,164.23,1611470310.390625,,,,,,,1
6,148.84,1611470310.40625,,,,,,,1
6,136.39,1611470310.421875,,,,,,,1
6,128.21,1611470310.4375,,,,,,,1
6,124.42,1611470310.453125,,,,,,,1
6,123.9,1611470310.46875,,,,,,,1
6,124.17,1611470310.484375,,,,,,,1
6,121.48,1611470310.5,,,,,,,1
6,111.76,1611470310.515625,,,,,,,1
6,92.22,1611470310.53125,,,,,,,1
6,63.19,1611470310.546875,,,,,,,1
6,28.81,1611470310.5625,,,,,,,1
6,-3.96,1611470310.578125,,,,,,,1
6,-27.64,1611470310.59375,,,,,,,1
6,-37.07,1611470310.609375,,,,,,,1
6,-31.42,1611470310.625,,,,,,,1
6,-14.53,1611470310.640625,,,,,,,1
6,6.4,1611470310.65625,,,,,,,1
6,23.43,1611470310.671875,,,,,,,1
6,30.32,1611470310.6875,,,,,,,1
6,24.4,1611470310.703125,,,,,,,1
6,7.11,1611470310.71875,,,,,,,1
6,-16.66,1611470310.734375,,,,,,,1
6,-40.06,1611470310.75,,,,,,,1
6,-56.19,1611470310.765625,,,,,,,1
6,-59.9,1611470310.78125,,,,,,,1
6,-49.1,1611470310.796875,,,,,,,1
6,-25.3,1611470310.8125,,,,,,,1
6,6.66,1611470310.828125,,,,,,,1
6,39.89,1611470310.84375,,,,,,,1
6,67.49,1611470310.859375,,,,,,,1
6,84.84,1611470310.875,,,,,,,1
6,91.28,1611470310.890625,,,,,,,1
6,90.44,1611470310.90625,,,,,,,1
6,88.73,1611470310.921875,,,,,,,1
6,92.6,1611470310.9375,,,,,,,1
6,105.75,1611470310.953125,,,,,,,1
6,127.64,1611470310.96875,,,,,,,1
6,153.97,1611470310.984375,,,,,,,1
6,178.77,1611470311.0,,,,,,,1
6,196.94,1611470311.015625,,,,,,,1
6,205.89,1611470311.03125,,,,,,,1
6,205.74,1611470311.046875,,,,,,,1
6,198.23,1611470311.0625,,,,,,,1
6,185.47,1611470311.078125,,,,,,,1
6,168.99,1611470311.09375,,,,,,,1
6,149.83,1611470311.109375,,,,,,,1
6,129.19,1611470311.125,,,,,,,1
6,108.82,1611470311.140625,,,,,,,1
6,90.77,1611470311.15625,,,,,,,1
6,76.62,1611470311.171875,,,,,,,1
6,66.61,1611470311.1875,,,,,,,1
6,59.39,1611470311.203125,,,,,,,1
6,52.62,1611470311.21875,,,,,,,1
6,44.14,1611470311.234375,,,,,,,1
6,33.07,1611470311.25,,,,,,,1
6,20.35,1611470311.265625,,,,,,,1
6,8.32,1611470311.28125,,,,,,,1
6,-0.39,1611470311.296875,,,,,,,1
6,-4.13,1611470311.3125,,,,,,,1
6,-3.07,1611470311.328125,,,,,,,1
6,0.82,1611470311.34375,,,,,,,1
6,4.56,1611470311.359375,,,,,,,1
6,5.35,1611470311.375,,,,,,,1
6,1.68,1611470311.390625,,,,,,,1
6,-6.39,1611470311.40625,,,,,,,1
6,-17.58,1611470311.421875,,,,,,,1
6,-30.35,1611470311.4375,,,,,,,1
6,-43.92,1611470311.453125,,,,,,,1
6,-58.79,1611470311.46875,,,,,,,1
6,-76.84,1611470311.484375,,,,,,,1
6,-100.91,1611470311.5,,,,,,,1
6,-134.34,1611470311.515625,,,,,,,1
6,-180.19,1611470311.53125,,,,,,,1
6,-240.19,1611470311.546875,,,,,,,1
6,-313.4,1611470311.5625,,,,,,,1
6,-395.07,1611470311.578125,,,,,,,1
6,-476.67,1611470311.59375,,,,,,,1
6,-547.64,1611470311.609375,,,,,,,1
6,-598.3,1611470311.625,,,,,,,1
6,-623.03,1611470311.640625,,,,,,,1
6,-622.0,1611470311.65625,,,,,,,1
6,-600.58,1611470311.671875,,,,,,,1
6,-566.68,1611470311.6875,,,,,,,1
6,-527.54,1611470311.703125,,,,,,,1
6,-487.44,1611470311.71875,,,,,,,1
6,-447.35,1611470311.734375,,,,,,,1
6,-406.23,1611470311.75,,,,,,,1
6,-362.64,1611470311.765625,,,,,,,1
6,-315.9,1611470311.78125,,,,,,,1
6,-266.18,1611470311.796875,,,,,,,1
6,-214.2,1611470311.8125,,,,,,,1
6,-160.91,1611470311.828125,,,,,,,1
6,-107.79,1611470311.84375,,,,,,,1
6,-57.19,1611470311.859375,,,,,,,1
6,-12.38,1611470311.875,,,,,,,1
6,23.16,1611470311.890625,,,,,,,1
6,46.87,1611470311.90625,,,,,,,1
6,58.15,1611470311.921875,,,,,,,1
6,58.86,1611470311.9375,,,,,,,1
6,52.84,1611470311.953125,,,,,,,1
6,44.76,1611470311.96875,,,,,,,1
6,38.66,1611470311.984375,,,,,,,1
6,36.82,1611470312.0,,,,,,,1
6,39.37,1611470312.015625,,,,,,,1
6,44.57,1611470312.03125,,,,,,,1
6,49.82,1611470312.046875,,,,,,,1
6,52.85,1611470312.0625,,,,,,,1
6,52.64,1611470312.078125,,,,,,,1
6,49.8,1611470312.09375,,,,,,,1
6,46.11,1611470312.109375,,,,,,,1
6,43.8,1611470312.125,,,,,,,1
6,44.65,1611470312.140625,,,,,,,1
6,49.55,1611470312.15625,,,,,,,1
6,58.3,1611470312.171875,,,,,,,1
6,69.86,1611470312.1875,,,,,,,1
6,82.61,1611470312.203125,,,,,,,1
6,94.73,1611470312.21875,,,,,,,1
6,104.52,1611470312.234375,,,,,,,1
6,110.59,1611470312.25,,,,,,,1
6,112.32,1611470312.265625,,,,,,,1
6,110.0,1611470312.28125,,,,,,,1
6,104.81,1611470312.296875,,,,,,,1
6,98.38,1611470312.3125,,,,,,,1
6,92.22,1611470312.328125,,,,,,,1
6,87.34,1611470312.34375,,,,,,,1
6,84.15,1611470312.359375,,,,,,,1
6,82.65,1611470312.375,,,,,,,1
6,82.71,1611470312.390625,,,,,,,1
6,84.11,1611470312.40625,,,,,,,1
6,86.44,1611470312.421875,,,,,,,1
6,88.87,1611470312.4375,,,,,,,1
6,90.23,1611470312.453125,,,,,,,1
6,89.4,1611470312.46875,,,,,,,1
6,85.74,1611470312.484375,,,,,,,1
6,79.31,1611470312.5,,,,,,,1
6,70.72,1611470312.515625,,,,,,,1
6,60.62,1611470312.53125,,,,,,,1
6,49.35,1611470312.546875,,,,,,,1
6,36.92,1611470312.5625,,,,,,,1
6,23.41,1611470312.578125,,,,,,,1
6,9.51,1611470312.59375,,,,,,,1
6,-3.35,1611470312.609375,,,,,,,1
6,-13.35,1611470312.625,,,,,,,1
6,-19.07,1611470312.640625,,,,,,,1
6,-20.14,1611470312.65625,,,,,,,1
6,-17.53,1611470312.671875,,,,,,,1
6,-13.15,1611470312.6875,,,,,,,1
6,-9.12,1611470312.703125,,,,,,,1
6,-6.91,1611470312.71875,,,,,,,1
6,-7.01,1611470312.734375,,,,,,,1
6,-8.84,1611470312.75,,,,,,,1
6,-11.29,1611470312.765625,,,,,,,1
6,-13.35,1611470312.78125,,,,,,,1
6,-14.58,1611470312.796875,,,,,,,1
6,-15.29,1611470312.8125,,,,,,,1
6,-16.28,1611470312.828125,,,,,,,1
6,-18.36,1611470312.84375,,,,,,,1
6,-21.81,1611470312.859375,,,,,,,1
6,-26.24,1611470312.875,,,,,,,1
6,-30.67,1611470312.890625,,,,,,,1
6,-33.95,1611470312.90625,,,,,,,1
6,-35.08,1611470312.921875,,,,,,,1
6,-33.28,1611470312.9375,,,,,,,1
6,-27.87,1611470312.953125,,,,,,,1
6,-18.37,1611470312.96875,,,,,,,1
6,-4.97,1611470312.984375,,,,,,,1
6,10.8,1611470313.0,,,,,,,1
6,25.76,1611470313.015625,,,,,,,1
6,35.87,1611470313.03125,,,,,,,1
6,37.93,1611470313.046875,,,,,,,1
6,31.41,1611470313.0625,,,,,,,1
6,19.24,1611470313.078125,,,,,,,1
6,6.87,1611470313.09375,,,,,,,1
6,0.01,1611470313.109375,,,,,,,1
6,2.05,1611470313.125,,,,,,,1
6,12.89,1611470313.140625,,,,,,,1
6,29.35,1611470313.15625,,,,,,,1
6,46.97,1611470313.171875,,,,,,,1
6,62.06,1611470313.1875,,,,,,,1
6,72.79,1611470313.203125,,,,,,,1
6,79.08,1611470313.21875,,,,,,,1
6,81.76,1611470313.234375,,,,,,,1
6,81.52,1611470313.25,,,,,,,1
6,78.53,1611470313.265625,,,,,,,1
