,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,9,-8.706,1.273596,35.89,2233820.75,1
1,9,-19.263684,1.281281,35.89,2220051.875,1
2,9,26.605263,1.273596,35.89,2217997.0,1
3,9,98.489474,1.276157,35.89,2217921.0,1
4,9,-25.800526,1.274876,35.89,2217225.0,1
5,9,28.507895,1.273596,35.89,2222718.142857,1
6,9,47.706842,1.267191,35.89,2219989.5,1
7,9,-22.843158,1.263348,35.83,2217561.285714,1
8,9,-50.8965,1.268471,35.83,2229986.25,1
9,9,-7.159474,1.271034,35.79,2250809.857143,1
10,9,-20.75,1.258224,35.77,2244138.0,1
11,9,-4.023158,1.247977,35.81,2271956.25,1
12,9,5.692,1.246695,35.81,2266918.142857,1
13,9,-58.817895,1.242853,35.79,2263013.285714,1
14,9,27.259474,1.237729,35.79,2263925.625,1
15,9,61.875789,1.2531,35.79,2268762.375,1
16,9,2.956316,1.271034,35.79,2313096.0,1
17,9,-7.5275,1.270393,35.79,2303847.125,1
18,9,2.580526,1.274876,35.79,2298067.285714,1
19,9,-3.84,1.267191,35.77,2294464.428571,1
20,9,7.08,1.263348,35.77,2289702.857143,1
21,9,-0.54,1.269753,35.77,2303892.875,1
22,9,0.498,1.262067,35.77,2315400.375,1
23,9,-0.402632,1.263348,35.77,2310882.857143,1
24,9,2.475263,1.254381,35.77,2304232.75,1
25,9,6.176,1.263348,35.77,2298231.428571,1
26,9,2.555263,1.263348,35.77,2318503.571429,1
27,9,-9.766,1.263348,35.77,2338138.375,1
28,9,-12.198947,1.254381,35.77,2333774.75,1
29,9,49.979474,1.256943,35.77,2321102.0,1
30,9,-7.894737,1.250539,35.77,2336545.142857,1
31,9,-13.542632,1.250539,35.73,2319806.875,1
32,9,-3.015789,1.245415,35.73,2321728.857143,1
33,9,6.445263,1.235167,35.73,2320448.375,1
34,9,3.661579,1.236448,35.73,2311817.142857,1
35,9,2.262105,1.230043,35.73,2314999.285714,1
36,9,-5.043158,1.226201,35.71,2291260.428571,1
37,9,-4.261053,1.221077,35.71,2305866.625,1
38,9,-1.337895,1.223639,35.68,2272805.571429,1
39,9,-2.6455,1.218515,35.695,2220496.285714,1
40,9,-3.927895,1.218515,35.68,2226765.25,1
41,9,-11.626842,1.215953,35.65,2189702.428571,1
42,9,-2.499474,1.215953,35.65,2183191.375,1
43,9,5.062105,1.218515,35.65,2183174.714286,1
44,9,2.9235,1.219155,35.64,2186217.25,1
45,9,9.536842,1.218515,35.63,2189932.0,1
46,9,3.115789,1.208267,35.65,2227760.375,1
47,9,0.141053,1.214672,35.65,2249502.857143,1
48,9,10.083,1.210188,35.65,2281689.875,1
49,9,0.687895,1.208267,35.65,2258520.857143,1
50,9,1.136316,1.210829,35.65,2238063.142857,1
51,9,-10.01,1.205705,35.63,2234479.0,1
52,9,6.772632,1.200582,35.63,2225725.285714,1
53,9,4.732632,1.200582,35.63,2259651.0,1
54,9,0.807895,1.208267,35.63,2255405.857143,1
55,9,-6.353684,1.203144,35.61,2240484.25,1
56,9,-0.657895,1.210829,35.61,2237477.875,1
57,9,-0.433158,1.205705,35.59,2244136.0,1
58,9,6.179,1.199941,35.59,2264385.0,1
59,9,7.532632,1.208267,35.59,2289594.25,1
60,9,-5.725263,1.200582,35.59,2288443.285714,1
61,9,-1.738947,1.203144,35.59,2284022.125,1
62,9,-1.800526,1.204425,35.59,2279907.285714,1
63,9,1.969,1.204425,35.57,2293305.857143,1
64,9,1.741579,1.199301,35.57,2290654.5,1
65,9,11.71,1.208267,35.57,2286383.0,1
66,9,-5.302632,1.209548,35.57,2287849.625,1
67,9,-19.287368,1.201863,35.57,2283989.857143,1
68,9,8.5985,1.205065,35.56,2302132.375,1
69,9,-38.748947,1.201863,35.59,2315096.625,1
70,9,60.4115,1.207627,35.59,2304275.428571,1
71,9,24.48,1.214672,35.55,2288363.142857,1
72,9,-0.206316,1.218515,35.55,2296226.0,1
73,9,-8.756316,1.231324,35.57,2286828.5,1
74,9,-11.868947,1.231324,35.57,2276110.875,1
75,9,-5.099474,1.233886,35.57,2269865.714286,1
76,9,-1.077895,1.244134,35.57,2257594.375,1
77,9,-3.0045,1.245415,35.57,2266068.142857,1
78,9,6.111579,1.242853,35.55,2286952.142857,1
79,9,0.241053,1.244134,35.55,2258844.625,1
80,9,1.5115,1.244134,35.54,2251016.714286,1
81,9,-4.936842,1.236448,35.53,2225820.125,1
82,9,1.7845,1.237089,35.53,2260880.857143,1
83,9,11.335789,1.231324,35.53,2255020.875,1
84,9,0.1795,1.235167,35.515,2244238.75,1
85,9,6.183684,1.235167,35.53,2274533.0,1
86,9,-6.231,1.237089,35.53,2270188.75,1
87,9,-6.620526,1.246696,35.5,2266090.5,1
88,9,-4.502632,1.230043,35.5,2276406.0,1
89,9,0.0835,1.231964,35.5,2259528.375,1
90,9,6.746842,1.232605,35.5,2254640.428571,1
91,9,10.307368,1.236448,35.49,2260573.25,1
92,9,-11.645789,1.240291,35.49,2260393.142857,1
93,9,-1.5165,1.235167,35.48,2242247.571429,1
94,9,-6.374737,1.226201,35.47,2211188.375,1
95,9,-1.737368,1.233886,35.47,2188497.75,1
96,9,0.749474,1.235167,35.47,2154526.625,1
97,9,4.171,1.241572,35.49,2178625.0,1
98,9,0.460526,1.244134,35.49,2173605.0,1
99,9,5.960526,1.23901,35.49,2094311.375,1
100,9,-3.391579,1.228763,35.45,2048474.5,1
101,9,-0.223158,1.232605,35.45,2083155.5,1
102,9,-7.840526,1.241572,35.45,2097467.714286,1
103,9,-2.951579,1.237729,35.45,2059530.285714,1
104,9,-5.072105,1.236448,35.45,2051490.75,1
105,9,-6.761053,1.230043,35.45,2032454.857143,1
106,9,-8.159474,1.223639,35.45,2023240.125,1
107,9,2.7115,1.236448,35.45,2087608.857143,1
108,9,-1.558947,1.230043,35.45,2123564.0,1
109,9,9.035789,1.230043,35.43,2066473.857143,1
110,9,-13.825263,1.221077,35.43,2051141.857143,1
111,9,3.323158,1.22492,35.43,2081575.0,1
112,9,7.762,1.222999,35.44,2113754.714286,1
113,9,-16.972632,1.227481,35.45,2077417.857143,1
114,9,-3.019474,1.226201,35.43,2018801.125,1
115,9,-4.571,1.226201,35.42,1967605.142857,1
116,9,-8.278947,1.221077,35.41,1950255.25,1
117,9,1.528421,1.223639,35.41,1997678.285714,1
118,9,-3.587368,1.219796,35.41,2039528.142857,1
119,9,3.401579,1.223639,35.41,2054763.75,1
120,9,-0.9235,1.218515,35.41,2046119.142857,1
121,9,-0.373684,1.218515,35.41,2000790.375,1
122,9,1.330526,1.215953,35.41,1988487.285714,1
123,9,-2.024211,1.213391,35.41,1982262.375,1
124,9,4.193158,1.215953,35.41,1963135.75,1
125,9,-5.817368,1.214672,35.39,1961765.714286,1
126,9,1.879474,1.215953,35.39,1938721.125,1
127,9,6.182632,1.214672,35.37,1997648.714286,1
128,9,-5.5835,1.215953,35.38,2025407.375,1
129,9,-14.360526,1.21211,35.39,2019066.0,1
130,9,18.2745,1.214672,35.34,2058728.714286,1
131,9,12.431579,1.217234,35.37,2171183.625,1
132,9,-12.005,1.222358,35.355,2129512.0,1
133,9,19.877895,1.227481,35.34,2114551.75,1
134,9,1.1035,1.237729,35.34,2124647.142857,1
135,9,-2.014737,1.242853,35.33,2145660.571429,1
136,9,-7.945263,1.241572,35.33,2130284.857143,1
137,9,6.643,1.237089,35.33,2113245.285714,1
138,9,8.717368,1.226201,35.33,2111686.0,1
139,9,-2.216842,1.222358,35.33,2138012.75,1
140,9,-6.362632,1.22492,35.31,2167171.375,1
141,9,5.676316,1.223639,35.31,2174252.125,1
142,9,-19.452105,1.218515,35.31,2170061.714286,1
143,9,-6.565789,1.218515,35.31,2157339.5,1
144,9,22.392,1.222999,35.32,2171209.0,1
145,9,-16.402105,1.227481,35.33,2176869.142857,1
146,9,-12.017368,1.221077,35.31,2151122.714286,1
147,9,-7.562,1.215313,35.31,2116584.5,1
148,9,21.774211,1.208267,35.31,2102228.125,1
149,9,-1.229474,1.214672,35.31,2121581.75,1
150,9,9.031053,1.210829,35.31,2144228.0,1
151,9,-20.272,1.21275,35.31,2126814.857143,1
152,9,-38.987895,1.208267,35.31,2071521.25,1
153,9,-1.680526,1.205705,35.29,2062591.428571,1
154,9,-12.791579,1.21211,35.29,2103284.428571,1
155,9,20.111579,1.206986,35.29,2098177.75,1
156,9,-12.354737,1.210829,35.29,2042889.25,1
157,9,15.8775,1.209548,35.28,2023657.5,1
158,9,-15.846842,1.204425,35.27,2008991.285714,1
159,9,-3.325263,1.213391,35.27,2012281.857143,1
160,9,24.802632,1.218515,35.27,2038801.75,1
161,9,-12.995789,1.218515,35.27,2063084.428571,1
162,9,23.75,1.206986,35.27,2029652.857143,1
163,9,-9.588947,1.209548,35.27,2023464.75,1
164,9,-37.069474,1.204425,35.27,2010843.375,1
165,9,1.775,1.210189,35.26,2038560.875,1
166,9,29.356316,1.21211,35.25,2095366.0,1
167,9,-38.348947,1.226201,35.25,2108604.375,1
168,9,19.421,1.215313,35.25,2095955.875,1
169,9,-4.526842,1.203144,35.21,2087795.25,1
170,9,29.658421,1.209548,35.21,2078285.0,1
171,9,41.047895,1.214672,35.21,2101344.285714,1
172,9,-14.0965,1.207626,35.22,2124092.875,1
173,9,-9.619474,1.215953,35.23,2124975.125,1
174,9,3.290526,1.222358,35.25,2152500.375,1
175,9,8.475263,1.217234,35.25,2131449.75,1
176,9,-17.095789,1.208267,35.23,2113244.125,1
177,9,-5.906316,1.208267,35.23,2105163.571429,1
178,9,-22.652632,1.208267,35.23,2139935.625,1
179,9,10.123684,1.214672,35.25,2176355.285714,1
180,9,-31.023684,1.21211,35.25,2142449.125,1
181,9,31.725789,1.210829,35.23,2136561.375,1
182,9,29.689474,1.217234,35.23,2137837.142857,1
183,9,20.3795,1.223639,35.22,2064600.428571,1
184,9,17.774737,1.205705,35.21,2016476.0,1
185,9,-8.3835,1.211469,35.18,2061283.375,1
186,9,10.277368,1.208267,35.18,2027436.428571,1
187,9,-21.821053,1.218515,35.18,1981754.625,1
188,9,12.4165,1.214672,35.17,1986739.571429,1
189,9,-7.356316,1.213391,35.16,2058371.125,1
190,9,29.651053,1.222358,35.16,2055294.0,1
191,9,3.341053,1.210829,35.21,2040386.571429,1
192,9,-39.073,1.210829,35.21,2020833.125,1
193,9,1.316316,1.218515,35.21,2011064.571429,1
194,9,6.681579,1.210829,35.18,2009919.625,1
195,9,17.668421,1.21211,35.16,2052489.75,1
196,9,-10.958421,1.213391,35.18,2050751.0,1
197,9,-36.756,1.21147,35.18,2037322.0,1
198,9,9.784211,1.21211,35.15,2086915.25,1
199,9,-14.804737,1.206986,35.15,2098535.714286,1
200,9,-23.861579,1.213391,35.15,2021666.571429,1
201,9,23.825789,1.208267,35.13,2110088.714286,1
202,9,-29.5365,1.210188,35.14,2053095.875,1
203,9,-24.731579,1.208267,35.15,2042842.857143,1
204,9,30.651579,1.213391,35.15,2073260.875,1
205,9,16.956842,1.215953,35.15,2100563.571429,1
206,9,-16.227368,1.206986,35.13,2113251.25,1
207,9,2.048,1.214031,35.13,2103638.285714,1
208,9,-16.678421,1.218515,35.13,2108547.714286,1
209,9,-14.922105,1.209548,35.13,2090538.5,1
210,9,28.58,1.213391,35.13,2080887.428571,1
211,9,18.732,1.21147,35.13,2098610.285714,1
212,9,10.066842,1.205705,35.13,2126736.375,1
213,9,-9.592632,1.209548,35.13,2118914.625,1
214,9,-5.774211,1.210829,35.11,2084738.0,1
215,9,-42.870526,1.214672,35.11,2087721.125,1
216,9,35.771053,1.209548,35.11,2133160.0,1
217,9,28.516842,1.217234,35.09,2116911.142857,1
218,9,4.620526,1.210829,35.09,2108786.875,1
219,9,-44.326842,1.210829,35.09,2096895.571429,1
220,9,-6.564737,1.214672,35.09,2079213.5,1
221,9,-21.644737,1.217234,35.09,2113018.875,1
222,9,31.273684,1.210829,35.09,2131409.571429,1
223,9,-9.533158,1.222358,35.09,2099398.375,1
224,9,-7.883158,1.219796,35.09,2105018.285714,1
225,9,-19.2035,1.217874,35.09,2133839.142857,1
226,9,-4.376842,1.218515,35.09,2113999.5,1
227,9,20.364211,1.214672,35.09,2101613.142857,1
228,9,-33.878947,1.219796,35.09,2078946.375,1
229,9,36.917,1.222999,35.07,2082644.142857,1
230,9,4.962632,1.218515,35.05,2146656.875,1
231,9,5.821053,1.223639,35.05,2183294.571429,1
232,9,28.463158,1.222358,35.05,2147252.5,1
233,9,-80.797895,1.227481,35.07,2125692.5,1
